place_idx,place_name,place_county,place_po_start,place_po_end,gnis_idx,gnis_id,gnis_name,gnis_county,gnis_feature_class,confidence,match_strategy,notes
313,Bateville,Clay,,1906.0,28962.0,1273902.0,Waterville,Bradley,Populated Place,74.21052631578947,FUZZY_GENERAL,"Fuzzy match (score: 84.21052631578947), different county"
313,Bateville,Clay,,1906.0,30152.0,1314693.0,Blakeville,Lincoln,Populated Place,74.21052631578947,FUZZY_GENERAL,"Fuzzy match (score: 84.21052631578947), different county"
318,Baton,Robertson,,1902.0,734.0,1643502.0,Blanton (historical),Cannon,Populated Place,73.33333333333334,FUZZY_GENERAL,"Fuzzy match (score: 83.33333333333334), different county"
318,Baton,Robertson,,1902.0,33672.0,1314728.0,Brayton,Bledsoe,Populated Place,73.33333333333334,FUZZY_GENERAL,"Fuzzy match (score: 83.33333333333334), different county"
322,Batsons Store,Dickson,,,321.0,1308480.0,Lyons Store (historical),Hawkins,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 75.0), different county"
322,Batsons Store,Dickson,,,11010.0,1647629.0,Store Branch,Gibson,Stream,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.0), different county"
322,Batsons Store,Dickson,,,28384.0,1297025.0,Paynes Store,Trousdale,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.0), different county"
334,Bayne,Henry,,1904.0,681.0,1311785.0,Haynes (historical),Union,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county"
334,Bayne,Henry,,1904.0,28482.0,1313075.0,Haynes,Rutherford,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county"
334,Bayne,Henry,,1904.0,30980.0,1269358.0,Blaine,Grainger,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county"
388,Beckville,Hickman,,1897.0,790.0,1312461.0,Beachville (historical),Williamson,Populated Place,74.21052631578947,FUZZY_GENERAL,"Fuzzy match (score: 84.21052631578947), different county"
392,Bedrock,Giles,,1883.0,24883.0,1276778.0,Bee Rock,Putnam,Summit,70.0,FUZZY_GENERAL,"Fuzzy match (score: 80.0), different county"
392,Bedrock,Giles,,1883.0,18908.0,1291754.0,Lock Bend,Warren,Bend,70.0,FUZZY_GENERAL,"Fuzzy match (score: 75.0), different county"
434,Beefranch,Dickson,,,6316.0,1276766.0,Bee Branch,Union,Stream,74.21052631578947,FUZZY_GENERAL,"Fuzzy match (score: 84.21052631578947), different county"
434,Beefranch,Dickson,,,7182.0,1276758.0,Bee Branch,Marion,Stream,74.21052631578947,FUZZY_GENERAL,"Fuzzy match (score: 84.21052631578947), different county"
434,Beefranch,Dickson,,,7183.0,1276767.0,Bee Branch,Stewart,Stream,74.21052631578947,FUZZY_GENERAL,"Fuzzy match (score: 84.21052631578947), different county"
451,Belknaps,Stewart,,,977.0,1643544.0,Elkins (historical),Cannon,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 71.42857142857143), different county"
451,Belknaps,Stewart,,,30913.0,1283649.0,Elkins,Franklin,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 71.42857142857143), different county"
451,Belknaps,Stewart,,,33203.0,1315013.0,Elkins,Hickman,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 71.42857142857143), different county"
462,Bellboro,Williamson,,,28853.0,1276973.0,Bellwood,Wilson,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 75.0), different county"
462,Bellboro,Williamson,,,30265.0,1287843.0,Hillsboro,Coffee,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 70.58823529411764), different county"
462,Bellboro,Williamson,,,32457.0,1305096.0,Bellsburg,Dickson,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 70.58823529411764), different county"
506,Belmontaine,Haywood,,,26338.0,1327557.0,Bell Mountain,Monroe,Summit,73.33333333333334,FUZZY_GENERAL,"Fuzzy match (score: 83.33333333333334), different county"
507,Beloat,Sumner,1879.0,1898.0,28242.0,1314663.0,Belmont,Anderson,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 76.92307692307692), different county"
507,Beloat,Sumner,1879.0,1898.0,29163.0,1314662.0,Belmont,Coffee,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 76.92307692307692), different county"
507,Beloat,Sumner,1879.0,1898.0,29503.0,1276976.0,Belmont,Jefferson,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 76.92307692307692), different county"
515,Bending Chestnut,Williamson,,,7135.0,1640654.0,Chestnut Branch,Polk,Stream,70.0,FUZZY_GENERAL,"Fuzzy match (score: 70.96774193548387), different county"
515,Bending Chestnut,Williamson,,,10996.0,1280371.0,Chestnut Branch,Weakley,Stream,70.0,FUZZY_GENERAL,"Fuzzy match (score: 70.96774193548387), different county"
515,Bending Chestnut,Williamson,,,12381.0,1309643.0,Chestnut Branch,Morgan,Stream,70.0,FUZZY_GENERAL,"Fuzzy match (score: 70.96774193548387), different county"
517,Benedict,Cumberland,1924.0,1931.0,3747.0,1301870.0,Benedicts Lake,Tipton,Reservoir,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county"
517,Benedict,Cumberland,1924.0,1931.0,29651.0,1646957.0,Rice Bend,Unicoi,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 70.58823529411764), different county"
526,Bentley,Sullivan,1900.0,1900.0,28099.0,1315221.0,Henley,Franklin,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 76.92307692307692), different county"
526,Bentley,Sullivan,1900.0,1900.0,31592.0,1314635.0,Batley,Anderson,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 76.92307692307692), different county"
526,Bentley,Sullivan,1900.0,1900.0,882.0,1313302.0,Beasley (historical),Dickson,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 71.42857142857143), different county"
543,Berendsen Town,Lawrence,,,29324.0,1276650.0,Beardstown,Perry,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 75.0), different county"
543,Berendsen Town,Lawrence,,,33715.0,1314729.0,Breedenton,Meigs,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 75.0), different county"
543,Berendsen Town,Lawrence,,,34784.0,2405310.0,Town of Braden,Fayette,Civil,70.0,FUZZY_GENERAL,"Fuzzy match (score: 71.42857142857143), different county"
545,Beriah,Bradley,,1901.0,1501.0,1643500.0,Berea (historical),Cannon,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county"
545,Beriah,Bradley,,1901.0,28957.0,1277033.0,Berea,Giles,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county"
545,Beriah,Bradley,,1901.0,30593.0,1314665.0,Berea,Warren,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county"
