place_idx,place_name,place_county,place_po_start,place_po_end,gnis_idx,gnis_id,gnis_name,gnis_county,gnis_feature_class,confidence,match_strategy,notes
103,Allens Ferry,Cannon,,1842.0,675.0,1313247.0,Callens Ferry (historical),Hardin,Crossing,86.0,FUZZY_GENERAL,"Fuzzy match (score: 96.0), different county"
104,Allens Ferry,Warren,,1836.0,675.0,1313247.0,Callens Ferry (historical),Hardin,Crossing,86.0,FUZZY_GENERAL,"Fuzzy match (score: 96.0), different county"
105,Allens Stand,Lawrence,,,21920.0,1643104.0,Allens Island,Greene,Island,78.0,FUZZY_GENERAL,"Fuzzy match (score: 88.0), different county"
106,Allens Station,Hancock,,1855.0,30436.0,1275607.0,Allens,Haywood,Populated Place,80.0,NAME_VARIATION,Name variation: allens
107,Allens Station,Hawkins,,1846.0,30436.0,1275607.0,Allens,Haywood,Populated Place,80.0,NAME_VARIATION,Name variation: allens
110,Allenville,Giles,,1828.0,314.0,1312976.0,Allensville (historical),Sevier,Populated Place,85.23809523809523,FUZZY_GENERAL,"Fuzzy match (score: 95.23809523809523), different county"
112,Allenville,Warren,,1822.0,314.0,1312976.0,Allensville (historical),Sevier,Populated Place,85.23809523809523,FUZZY_GENERAL,"Fuzzy match (score: 95.23809523809523), different county"
113,Alley,Sequatchie,,1899.0,29550.0,1303994.0,Talley,Marshall,Populated Place,80.9090909090909,FUZZY_GENERAL,"Fuzzy match (score: 90.9090909090909), different county"
116,Allington,Roane,,,27898.0,1275854.0,Arlington,Knox,Populated Place,78.88888888888889,FUZZY_GENERAL,"Fuzzy match (score: 88.88888888888889), different county"
116,Allington,Roane,,,29343.0,1304869.0,Arlington,Shelby,Populated Place,78.88888888888889,FUZZY_GENERAL,"Fuzzy match (score: 88.88888888888889), different county"
116,Allington,Roane,,,32063.0,1309075.0,Arlington,Houston,Populated Place,78.88888888888889,FUZZY_GENERAL,"Fuzzy match (score: 88.88888888888889), different county"
118,Allosonia,Williamson,1879.0,1960.0,29123.0,1304808.0,Allisona,Williamson,Populated Place,87.35294117647058,FUZZY_GENERAL,"Fuzzy match (score: 82.35294117647058), same county"
120,Alltens,Overton,,,30436.0,1275607.0,Allens,Haywood,Populated Place,82.3076923076923,FUZZY_GENERAL,"Fuzzy match (score: 92.3076923076923), different county"
