place_idx,place_name,place_county,place_po_start,place_po_end,gnis_idx,gnis_id,gnis_name,gnis_county,gnis_feature_class,confidence,match_strategy,notes,Place_Name,County,place_lat,place_lon,gaz_id,gnis_lat,gnis_lon,distance_miles
162,Ammonia,Shelby,,1859.0,29507.0,1275857.0,Armona,Blount,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 76.92307692307692), different county",Ammonia,Shelby,35.1345,-89.9372,1275857,35.6856,-83.9207,340.9051327997942
162,Ammonia,Shelby,,1859.0,33948.0,1294158.0,Mona,Rutherford,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county",Ammonia,Shelby,35.1345,-89.9372,1294158,35.8445,-86.3972,205.10296616356078
162,Ammonia,Shelby,,1859.0,33118.0,1290442.0,Laconia,Fayette,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 71.42857142857143), different county",Ammonia,Shelby,35.1345,-89.9372,1290442,35.2145,-89.4472,28.22204754779219
164,Amo,Overton,,1904.0,330.0,1310508.0,Ambro (historical),Grainger,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 75.0), different county",Amo,Overton,36.3345,-85.2972,1310508,36.2845,-83.4972,100.28372263152984
164,Amo,Overton,,1904.0,27724.0,1304782.0,Alamo,Crockett,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 75.0), different county",Amo,Overton,36.3345,-85.2972,1304782,35.8345,-89.0972,214.97550761166502
164,Amo,Overton,,1904.0,27818.0,1314928.0,Damon,Hardin,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 75.0), different county",Amo,Overton,36.3345,-85.2972,1314928,35.1845,-88.2472,183.49447982920577
166,Ample,Roane,,1904.0,1460.0,1310539.0,Maples (historical),Grainger,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county",Ample,Roane,35.8645,-84.5372,1310539,36.2845,-83.4972,64.92832663349274
166,Ample,Roane,,1904.0,31352.0,1315462.0,Maples,Anderson,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county",Ample,Roane,35.8645,-84.5372,1315462,36.1034,-84.1888,25.533505278889315
166,Ample,Roane,,1904.0,32084.0,1315182.0,Hamble,Dickson,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county",Ample,Roane,35.8645,-84.5372,1315182,36.1345,-87.3972,160.9569756688545
178,Andersons,Wilson,,1834.0,29482.0,1314584.0,Anderson,Sullivan,Populated Place,84.11764705882352,FUZZY_GENERAL,"Fuzzy match (score: 94.11764705882352), different county",Andersons,Wilson,36.1745,-86.2972,1314584,36.5145,-82.2872,224.39653464881178
